created_at,user,followers_count,location,retweet_count,retweeted,userRT,full_text
2021-06-28 03:29:08,julioco11,164.0,,174.0,0.0,DiegoArcos14,RT Recotizacion suprema en selección de Ecuador:Piero Hincapié y Jhegson Mendez al alza bestial en bolsa d valores de jugadores en ficticio Wall Street pelotero
2021-06-27 21:17:26,dreamspaulo,591.0,ecuador,172.0,0.0,pilumeneses,RT Lo veo a Hernán Galindez cantando el himno y es imposible creer que “sólo esté pensando en tomar mate”. -VAMOS ECUADOR 💪🇪🇨
2021-06-27 00:03:13,Guayaco_Alfonso,367.0,Guayas,2.0,0.0,futbolecuador,RT “Es muy hermoso quedar campeón con el club que me formó” (ENTREVISTA) https://t.co/ZEXYCmnunn https://t.co/tnA1DpuA02
2021-06-23 14:21:31,SndrLlerena,1855.0,,1.0,0.0,,Posible 11 de #ECUADOR vs #Peru para esta tarde en #CopaAmerica Hernán GalíndezÁngelo Preciado Roberth ArboledaPiero HincapiéPervis EstupiñánJhegson MéndezMoisés CaicedoAlan FrancoDamián DíazAyrton PreciadoLeonardo Campana🇪🇨
2021-06-28 02:12:26,AdrianaArgando9,10.0,,174.0,0.0,DiegoArcos14,RT Recotizacion suprema en selección de Ecuador:Piero Hincapié y Jhegson Mendez al alza bestial en bolsa d valores de jugadores en ficticio Wall Street pelotero
2021-06-27 22:45:23,Informa_EC,6122.0,Ecuador,0.0,0.0,,83’ Cambios en la Tricolor.🔺 Ingresan: Mario Pineida y Leonardo Campana🔻 Salen: Ayrton Preciado y Enner Valencia#Brasil 🇧🇷 1-1 🇪🇨 #Ecuador#CopaAmérica#VamosTricolor
2021-06-27 22:45:27,infosportsec1,488.0,Pichincha-Ecuador,0.0,0.0,,83'| Cambios en Ecuador Ingresan: Mario Pineida y Leonardo Campana Salen: Enner Valencia y Ayrton Preciado #Brasil 🇧🇷 1-1 🇪🇨 #Ecuador #CopaAmérica#InfoSports https://t.co/9UjaQTeyEJ
2021-06-20 22:58:05,VzlaVinotintoVz,1489.0,Venezuela  #VamosVinotinto,4.0,0.0,SeleVinotinto,RT 🔁 Cambio en @LaTri: Ingresa Fidel Martínez por Ayrton Preciado al minuto 87.#CopaAmérica #VibraElContinente #VINOTINTOxTLT
2021-06-24 23:29:06,nmosqueraa,5801.0,Guayaquil-Ecuador,37.0,0.0,LaPizarraDelDT_,"RT Pese a la remontada de Perú Ecuador 🇪🇨 mostró cierta mejora en sus fases con balón a partir de tres futbolistas:📌 Jhegson Méndez📌 Moisés Caicedo📌 ""Kitu"" DíazAbrimos hilo para analizar cómo estos tres jugadores le ofrecieron soluciones por dentro: https://t.co/cEtCkuAO8R"
2021-06-27 20:08:01,christianfran44,62.0,Guayaquil,3.0,0.0,ecuadorfutbol,RT #CopaAmericaSí va Gonzalo Plata para el #Brasil vs #EcuadorDescartados:5️⃣  Dixon Arroyo🔟  Damián Díaz2️⃣4️⃣ Fernando León2️⃣5️⃣ José Carabalí2️⃣8️⃣ José Hurtado https://t.co/0aHDyAJOQw
2021-06-27 22:54:47,YoSoyBasti,510.0,Gondor-Middle Earth,40.0,0.0,morenabeltran10,RT Gran ST de Jhegson Méndez. Su intuición de tiempo para estar bien ubicado y robar y más incrustado entre los centrales con pelota permitiéndole a Preciado pasar mucho más. Esa banda derecha con Alan Franco le dio salida limpia a Ecuador bajo presión.
2021-06-21 22:02:48,Nouhou2020,25.0,Seattle-WA,6.0,0.0,ELROLONW,RT I am told that Xavier Arreaga was absent in #Ecuador 🇪🇨 's last match against #Venezuela 🇻🇪 due to severe hit in his right eye after running into a teammate in practice. The #Sounders CB seems to be doing better and it's good to hear that he didn't suffer a long term injury. https://t.co/rtn36VM20J
2021-06-27 23:17:50,narcymaya2,2461.0,Guayaquil-Ecuador,1.0,0.0,dialogodeport,RT #Ecuador Un gran partido de Jhegson Mendez  marcó  quitó y jugó una de las figuras de la Selección el día de hoy.Angel Mena volvió a anotar con la camiseta de la Selección su ingreso a la cancha fue clave para el equipo. https://t.co/vtjHYoXB2o
2021-06-25 00:52:25,Aldonir83,824.0,Guayaquil-Ecuador,37.0,0.0,LaPizarraDelDT_,"RT Pese a la remontada de Perú Ecuador 🇪🇨 mostró cierta mejora en sus fases con balón a partir de tres futbolistas:📌 Jhegson Méndez📌 Moisés Caicedo📌 ""Kitu"" DíazAbrimos hilo para analizar cómo estos tres jugadores le ofrecieron soluciones por dentro: https://t.co/cEtCkuAO8R"
2021-06-28 12:00:01,dreamstockDSF,478.0,,0.0,0.0,,Orlando City : Jhegson Mendez (24)🇪🇨Mendez had an amazing game providing a draw for his country against Brazil✨96% passing accuracy making 10 recoveries a top performance👏#CopaAmerica #Ecuador #Brazil #onestowatch https://t.co/LmFIZ2SKnr
